timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1687219426147,42,https://www.blazedemo.com/reserve.php-1,200,OK,Teste de Pico 1-14,text,true,,83982,693,250,250,http://ajax.googleapis.com/ajax/libs/jquery/2.0.0/jquery.min.js,23,0,11
1687219426147,423,https://www.blazedemo.com/reserve.php-2,200,OK,Teste de Pico 1-14,text,true,,28981,678,250,250,https://www.blazedemo.com/assets/bootstrap.min.js,298,0,142
1687219426147,776,https://www.blazedemo.com/reserve.php-3,200,OK,Teste de Pico 1-14,text,true,,39488,680,250,250,https://www.blazedemo.com/assets/bootstrap-table.js,643,0,0
1687219426147,647,https://www.blazedemo.com/reserve.php-4,200,OK,Teste de Pico 1-14,text,true,,126767,679,250,250,https://www.blazedemo.com/assets/bootstrap.min.css,305,0,140
1687219426147,347,https://www.blazedemo.com/reserve.php-5,200,OK,Teste de Pico 1-14,text,true,,4067,681,250,250,https://www.blazedemo.com/assets/bootstrap-table.css,339,0,142
1687219425613,1417,https://www.blazedemo.com/reserve.php,200,OK,Teste de Pico 1-48,text,true,,290674,4133,250,250,https://www.blazedemo.com/reserve.php,438,0,143
1687219425613,458,https://www.blazedemo.com/reserve.php-0,200,OK,Teste de Pico 1-48,text,true,,7389,722,250,250,https://www.blazedemo.com/reserve.php,438,0,143
1687219426071,42,https://www.blazedemo.com/reserve.php-1,200,OK,Teste de Pico 1-48,text,true,,83982,693,250,250,http://ajax.googleapis.com/ajax/libs/jquery/2.0.0/jquery.min.js,22,0,10
1687219426072,457,https://www.blazedemo.com/reserve.php-2,200,OK,Teste de Pico 1-48,text,true,,28981,678,250,250,https://www.blazedemo.com/assets/bootstrap.min.js,345,0,0
1687219426072,958,https://www.blazedemo.com/reserve.php-3,200,OK,Teste de Pico 1-48,text,true,,39488,680,250,250,https://www.blazedemo.com/assets/bootstrap-table.js,793,0,139
1687219426072,635,https://www.blazedemo.com/reserve.php-4,200,OK,Teste de Pico 1-48,text,true,,126767,679,250,250,https://www.blazedemo.com/assets/bootstrap.min.css,292,0,133
1687219426072,302,https://www.blazedemo.com/reserve.php-5,200,OK,Teste de Pico 1-48,text,true,,4067,681,250,250,https://www.blazedemo.com/assets/bootstrap-table.css,294,0,132
1687219425459,1659,https://www.blazedemo.com/reserve.php,200,OK,Teste de Pico 1-10,text,true,,290674,4133,250,250,https://www.blazedemo.com/reserve.php,631,0,136
1687219425459,652,https://www.blazedemo.com/reserve.php-0,200,OK,Teste de Pico 1-10,text,true,,7389,722,250,250,https://www.blazedemo.com/reserve.php,631,0,136
1687219426111,51,https://www.blazedemo.com/reserve.php-1,200,OK,Teste de Pico 1-10,text,true,,83982,693,250,250,http://ajax.googleapis.com/ajax/libs/jquery/2.0.0/jquery.min.js,24,0,10
1687219426111,1007,https://www.blazedemo.com/reserve.php-2,200,OK,Teste de Pico 1-10,text,true,,28981,678,250,250,https://www.blazedemo.com/assets/bootstrap.min.js,925,0,0
1687219426112,488,https://www.blazedemo.com/reserve.php-3,200,OK,Teste de Pico 1-10,text,true,,39488,680,250,250,https://www.blazedemo.com/assets/bootstrap-table.js,323,0,149
1687219426112,659,https://www.blazedemo.com/reserve.php-4,200,OK,Teste de Pico 1-10,text,true,,126767,679,250,250,https://www.blazedemo.com/assets/bootstrap.min.css,308,0,139
1687219426112,657,https://www.blazedemo.com/reserve.php-5,200,OK,Teste de Pico 1-10,text,true,,4067,681,250,250,https://www.blazedemo.com/assets/bootstrap-table.css,651,0,458
1687219425651,1511,https://www.blazedemo.com/reserve.php,200,OK,Teste de Pico 1-58,text,true,,290674,4133,250,250,https://www.blazedemo.com/reserve.php,596,0,137
1687219425651,602,https://www.blazedemo.com/reserve.php-0,200,OK,Teste de Pico 1-58,text,true,,7389,722,250,250,https://www.blazedemo.com/reserve.php,596,0,137
1687219426254,59,https://www.blazedemo.com/reserve.php-1,200,OK,Teste de Pico 1-58,text,true,,83982,693,250,250,http://ajax.googleapis.com/ajax/libs/jquery/2.0.0/jquery.min.js,30,0,15
1687219426254,908,https://www.blazedemo.com/reserve.php-2,200,OK,Teste de Pico 1-58,text,true,,28981,678,250,250,https://www.blazedemo.com/assets/bootstrap.min.js,776,0,541
1687219426254,733,https://www.blazedemo.com/reserve.php-3,200,OK,Teste de Pico 1-58,text,true,,39488,680,250,250,https://www.blazedemo.com/assets/bootstrap-table.js,696,0,0
1687219426254,782,https://www.blazedemo.com/reserve.php-4,200,OK,Teste de Pico 1-58,text,true,,126767,679,250,250,https://www.blazedemo.com/assets/bootstrap.min.css,432,0,222
1687219426254,410,https://www.blazedemo.com/reserve.php-5,200,OK,Teste de Pico 1-58,text,true,,4067,681,250,250,https://www.blazedemo.com/assets/bootstrap-table.css,403,0,221
1687219425555,1709,https://www.blazedemo.com/reserve.php,200,OK,Teste de Pico 1-34,text,true,,290674,4133,250,250,https://www.blazedemo.com/reserve.php,718,0,143
1687219425555,735,https://www.blazedemo.com/reserve.php-0,200,OK,Teste de Pico 1-34,text,true,,7389,722,250,250,https://www.blazedemo.com/reserve.php,718,0,143
1687219426290,64,https://www.blazedemo.com/reserve.php-1,200,OK,Teste de Pico 1-34,text,true,,83982,693,250,250,http://ajax.googleapis.com/ajax/libs/jquery/2.0.0/jquery.min.js,22,0,13
1687219426290,974,https://www.blazedemo.com/reserve.php-2,200,OK,Teste de Pico 1-34,text,true,,28981,678,250,250,https://www.blazedemo.com/assets/bootstrap.min.js,891,0,0
1687219426290,926,https://www.blazedemo.com/reserve.php-3,200,OK,Teste de Pico 1-34,text,true,,39488,680,250,250,https://www.blazedemo.com/assets/bootstrap-table.js,829,0,279
1687219426290,842,https://www.blazedemo.com/reserve.php-4,200,OK,Teste de Pico 1-34,text,true,,126767,679,250,250,https://www.blazedemo.com/assets/bootstrap.min.css,503,0,278
1687219426290,498,https://www.blazedemo.com/reserve.php-5,200,OK,Teste de Pico 1-34,text,true,,4067,681,250,250,https://www.blazedemo.com/assets/bootstrap-table.css,478,0,279
1687219425439,1869,https://www.blazedemo.com/reserve.php,200,OK,Teste de Pico 1-5,text,true,,290674,4133,250,250,https://www.blazedemo.com/reserve.php,693,0,146
1687219425439,713,https://www.blazedemo.com/reserve.php-0,200,OK,Teste de Pico 1-5,text,true,,7389,722,250,250,https://www.blazedemo.com/reserve.php,693,0,146
